abstract,title,keywords,journal,scopus_id,year,first selection,,,,,
"Food (in)security has become a challenge not only for developing economies but also for High Income Countries. In parallel, food scholars have actively investigated the contribution of alternative food networks (AFNs) to the development of more sustainable and just food systems, paying attention to drivers, initiatives and policies supporting the development of alternatives to the dominant industrialised food system and its detrimental environmental and socio-economic impacts. However, few studies have directly addressed the contribution of AFNs to food security in the Global North. This paper aims to establish new linkages between food security debates and critical AFNs literature. For that purpose, we conduct a place-based approach to food security in a comparative analysis of initiatives of three different European contexts: Cardiff city-region (UK), the Flemish Region (Belgium) and the peri-urban area of the city of Valencia (Spain). The results unfold: i) how AFNs weave a more localised socio-economic fabric that creates new relationships between food security outcomes and specific territories, ii) hybridization processes within alternative but also conventional systems and iii) the role of advocacy and collective action at different levels. The analysis allows identification of key elements on which food security debates hinge and provides new insights to ground conceptual discussions on territorial and place-based food security approaches.",Exploring the contribution of alternative food networks to food security. A comparative analysis,Alternative food networks (AFN) *** Food security *** Place-based approach *** Local food systems,food security,WOS:000454595500006,2018,,,,,,
"Corporate social responsibility (CSR) issues in suppliers can affect the reputation of buyers or even result in supply chain disruption. Thus, buyer and supplier firms are urged to comply with CSR codes in a coordinated manner. In other words, multinational buyers are expected to extend CSR practices to their suppliers in emerging countries. This is particularly crucial when suppliers' CSR performance is screened under a regulatory agency's inspection regime. To this end, this study formulates an analytical model to understand the effects of buying firms' supportive schemes, i.e., technical assistance programmes, on their partner suppliers' CSR performance. Specifically, we develop a multi-period behavioural model to simulate a system consisting of multiple buyers and suppliers where the government regularly conducts inspections on suppliers' CSR performance. The results from the agent-based simulation analysis shed light on (1) how the dyadic risk preferences of suppliers and buyers affect suppliers' CSR performance; (2) how the gap between the perceived and actual CSR levels in a supplier interacts with the regulatory agency's tactics to influence suppliers' CSR performance; (3) the extent to which the overall suppliers' CSR performance improvement is attributable to the buyers' technical assistance programmes under the regulatory agency's inspection regime. This research contributes to the socially responsible supply chain management literature and provides innovative managerial insights for policy makers (e.g., CSR regulators) to promote CSR practices among suppliers.","Technical assistance, inspection regime, and corporate social responsibility performance: A behavioural perspective",Corporate social responsibility *** Buyer-supplier relationship *** Technical assistance *** Inspection *** Behavioural *** Multi-period,international journal of production economics,WOS:000451938400005,2018,,,,,,
"This special issue addresses the advances in stochastic programming and robust optimization for supply chain planning by examining novel methods, practices, and opportunities. The articles present and analyze opportunities to improve supply chain planning through exploring various uncertainty situations and problems, sustainability assessment, vendor selection, risk mitigation, retail supply chain planning, and supply chain coordination. This editorial note summarizes the discussions on the stochastic models, algorithms, and methodologies developed for the evaluation and effective implementation of supply chain planning under various concerns. A dominant finding is that supply chain planning through the advancement of stochastic programming and robust optimization should be explored in a variety of ways and within different fields of applications. (C) 2018 Elsevier Ltd. All rights reserved.",Advances in stochastic programming and robust optimization for supply chain planning,Supply chain planning *** Stochastic programming *** Robust optimization *** Uncertainties,computers & operations research,WOS:000447574400021,2018,,,,,,
"With the growing attention to Sustainable Production and Consumption (SPC) initiatives, organizations are seemingly locked in a battle with SPC implementation barriers. The successes of improving business activities in the theme of supply chain, motivates this study to investigate SPC trends in supply chain. Therefore, we aim to improve the implementation of SPC by identifying and evaluating the barriers in supply chains. The limitation of necessary resources to remove the barriers requires the organizations to investigate and prioritize the challenges. The proposed framework in this paper applies fuzzy Analytical Network Process for the evaluation. The framework classifies the key barriers into organization, supply chain, regulation, and customer dimensions which the first two are designed to be internal dimensions and the other two are external. A real case from fitting industry is studied and the related supply chain is entirely considered to examine the proposed approach of this study. The results show that for implementation of SPC the internal barriers are of greater concern compared to the external barriers. The organization dimension obtained the highest rank followed by customer, supply chain and regulation barrier dimensions. (C) 2018 Institution of Chemical Engineers. Published by Elsevier B.V. All rights reserved.",An integrated fuzzy MCDM approach to improve sustainable consumption and production trends in supply chain,Supply chain management *** Sustainable production & consumption *** Internal-external analysis *** Fuzzy MCDM *** Prioritizing,sustainable production and consumption,WOS:000451188200009,2018,,,,,,
"Purpose The purpose of this paper is to analyse proposed cloud computing integration (CCI) and external integration (EI) effects on the relationship between the integration of supply chain and business performance of the organisation in the Indian context. Design/methodology/approach A two-stage, structural equation modelling (SEM) and artificial neural network (ANN) methodology are employed for the analysis, and for verifying the robustness of the developed model sensitivity analysis is performed. Findings The results of SEM revealed that out of 14 hypotheses, 12 hypotheses were supported. Furthermore output of SEM was used as input for the ANN model and the results highlighted that production flexibility is an essential factor for operational business performance (OBP) followed by customer integration, supplier integration, product quality, internal integration and on-time delivery (OD). Research limitations/implications This study focussed on the emerging economies context and cannot be applied to all the countries, and there could be other derived variables from the real factors. This investigation is intended to guide various policy and decision makers of the case domain. Originality/value This study has introduced new factors such as CCI, EI and organisational business performance.",The incident effects of supply chain and cloud computing integration on the business performance An integrated SEM-ANN approach,Supply chain management *** Structural equation modelling *** Sensitivity analysis *** Artificial neural network *** Cloud computing integration *** External integration,benchmarking-an international journal,WOS:000452240000006,2018,,,,,,
"Purpose The alignment of procurement strategy with overall business strategy is important for superior firm performance. It is also essential for firms' purchasing structure to fit the purchasing strategy whether it is cost reduction; value analysis and/or improving delivery and increasing flexibility for achieving superior purchasing performance. The purpose of this paper is to scientifically examine the influence of organization culture (OC), green supplier development (GSD), supplier relationship management, flexibility and innovation on sustainability in supply network (SSN) under the moderation effect of institutional pressures and resources availability. Design/methodology/approach The study is grounded by integrating institutional theory (IT) and resource-based view (RBV) theory. The study empirically tests the conceptual model through survey data gathered from 175 respondents in the KwaZulu-Natal province of Southern Africa using structural equation modeling which is a multivariate data analysis technique that permits to simultaneously examine many relationships among manifest and latent variables. Findings It was found that OC plays a crucial role in shaping the workforce behavior and responsible for enhancing GSDs and building good relationship with suppliers which ultimately results into increased flexibility and innovativeness. Coercive pressures (CPs) play a moderating role between the causal relationship of innovation and SSN. Therefore, CPs have got the ability to amplify or reverse the effect between innovation and SSNs. Research limitations/implications The study suffers from few limitations. First, the study is restricted to one particular province in South Africa. Second, cross-sectional data were used for testing of model in the research study. Practical implications The findings are of great importance for both the researchers and supply chain practitioners. Supply chain practitioners may use this knowledge for benchmarking the supply network configuration process and continuously improve the process. The tested model actually shows the mechanism for enhancing SSNs. In today's dynamic and uncertain business environment, all firms in the supply network aims to minimize risks and maximize profitability. The findings show that CPs play a moderating effect on the relationship between innovation and SSN. Whenever government authorities and institutions pressurize firms for minimizing pollution levels, we see a trend of increased innovations in the form of new product developments, usage of eco-friendly raw material and application of eco-friendly technology which ultimately minimizes the carbon footprint. Through such initiatives steel and engineering firms conform to the government norms and regulations. However, innovations are possible through collaboration with specialist suppliers and sub-suppliers by adopting a common standard across the supply network. Through this overall process of innovation, the focal firm and sub-suppliers linked in the network will benefit and ultimately achieve a competitive edge. Therefore, firms can experience multiple benefits in terms of lower development costs, lower project cycle completion time, improvement in design for re-manufacturability, low downtime, low supply risks, reduction of greenhouse gas emissions and, ultimately, sustainable development. Originality/value The study is unique from dual perspective - both in terms of scope and contribution to supply chain management literature. First, the study integrates flexibility and innovation to study the impact on SSNs. Second, it integrates both IT and RBV theory of firm to test the moderation effect and the findings further opens up window for future research.",Importance of innovation and flexibility in configuring supply network sustainability,Innovation *** Flexibility *** Institutional theory *** Collaborative relationships *** Resource-based view *** Sustainability in supply networks,benchmarking-an international journal,WOS:000452516900028,2018,,,,,,
"Resilience in the context of supply chains has received particular attention over recent years. Companies have been aware of the need to adopt resilience strategies in supply chain management. Therefore, considering resilience factors in the process of assessing and classifying suppliers (ordinal classification or sorting) is relevant. Supplier classification for further selection is a multiple criteria decision problem, which involves several criteria. In this paper, we adopt the ELECTRE TRI-nC method, which allows us to classify the suppliers taking into account multiple criteria and the decision makers' preferences, including resilience criteria. The method was applied to classify the suppliers of a manufacturing industry from an emerging economy (India). A sorting model was collaboratively constructed through an interaction process between the analysts and the decision makers (industrial managers). The proposed approach contributes to the decision process of selecting suppliers by providing a pre-classification of a set of suppliers into three different categories of overall performance. The results show that the proposed method is suitable and useful as a decision aiding tool for purchasing decisions, allowing managers to obtain robust conclusions. (C) 2018 Elsevier Ltd. All rights reserved.",Supplier classification in emerging economies using the ELECTRE TRI-nC method: A case study considering sustainability aspects,Supplier classification *** Resilient supply chain *** Emerging economies *** BRIC countries *** Multiple criteria decision aiding *** ELECTRE TRI-nC,journal of cleaner production,WOS:000445981200081,2018,,,,,,
"Emergencies and disasters place an exceptional demand on the managerial skills of the humanitarian aid community. Most of the developing countries lack in such kind of resilience and effective humanitarian supply chain. Therefore, the purpose of this paper is to identify and analyse the factors to develop the resilience in the humanitarian supply chain. Based on the literature review, total 12 factors related to resilient humanitarian supply chain have been identified. Some of these factors are process oriented and some are result oriented. Interpretive structural modelling with Fuzzy MICMAC analysis is used to develop structural relationships among these factors and to find the driving and the dependence power of these factors. Government support, strategy and capacity planning; and continuous assessment of project progress have emerged as the major drivers for the development of resilient humanitarian supply chain. By managing these driving factors, humanitarian aid programme can be made resilient and agile. The findings will be useful for the humanitarian aid agencies to develop effective and sustainable aid relief programme.",Analysing the interaction of factors for resilient humanitarian supply chain,supply chain coordination *** supply chain resilience *** fuzzy logic *** resilience management *** supply chain management,international journal of production research,WOS:000453290100006,2018,,,,,,
"Sustainable development is a common global theme of the 21st century. Global environmental issues have attracted increasing public attention in recent years. As one of the most important industries in Taiwan, the automotive industry needs to implement green supply chain management to comply with current trends, and the selection of suppliers of green parts is particularly important in this regard. Supplier selection is a classic case of multiple-criteria decision-making (MCDM). A traditional method, called the decision-making trial and evaluation laboratory (DEMATEL)-based analytical network process (ANP) (DANP), is appropriate to solve the problem of supplier selection. This study proposes a novel variant of DANP, called grey DANP, to effectively reduce the huge problem arising from pairwise comparisons. An empirical study was used to demonstrate the usefulness of the proposed grey DANP. It contributes to finding the key factors of selecting green suppliers for Taiwan's automotive industry, including technology, delivery time, environmental management system and pollution control. The cause-effect relationships among key factors indicate that the environmental management system should be given more attention by manufacturers in the selection of green suppliers.",Green supplier selection for sustainable development of the automotive industry using grey decision-making,analytical network process *** DEMATEL *** green supplier *** grey relational analysis *** MCDM *** sustainable development,sustainable development,WOS:000454305300034,2018,,,,,,
"This paper considers the trade-offs of two-tier supply chain enterprises in an uncertain environment, and can be formulated into a two-tiered multi-programming formula. The model we proposed considers green building alternatives' cost, duration and carbon emissions uncertainties simultaneously, making it more realistic comparing to models in previous literature. In this model, the interval number and expected value based on Me are adopted to handle the uncertain coefficients contained in the objective function and constraints, then a stochastic-based robust optimization method is developed to get a solution that can resist the uncertain environment. To solve the complex and non-linear bi-level multi-follower model, an interactive fuzzy programming technique combined an effective multi-objective algorithm, NSGA-II, is designed as the solution method. Finally, an applicant for a contractor of Urban Construction Group and its sub-contractors is given as an illustration that demonstrates the practicality and efficiency of the proposed model. The sensitivity analysis towards the change of important parameters is also provided. (C) 2018 Elsevier Ltd. All rights reserved.",Longitudinal cooperative robust optimization model for sustainable supply chain management,Robust optimization *** Two-layer multi-slave programming *** Vertical cooperation *** Sustainable supply chain management *** Low-carbon environment,chaos solitons & fractals,WOS:000451316600012,2018,,,,,,
"A closed-loop supply chain network design is a facility location problem combined with forward and reverse logistics. To reflect the environmental fluctuations and the market competitiveness, recycled products will be remanufactured and sold to obtain the advantages of achieving green environmental protection and of reducing cost. This study considers the uncertain factors such as the quantity of customer product demand, the quantity of recycled used products, and the facility opening cost to design a fuzzy mixed-integer linear programming model for a closed-loop supply chain network design under uncertainty. A two-stage interactive possibilistic programming procedure is constructed to obtain a preferred compromise solution. Four fuzzy optimization approaches are embedded into the two-stage interactive possibilistic programming model and are compared. After computing experimental testing, we find that this study, based on the TH fuzzy approach, obtains a more efficient balanced compromise solution than other fuzzy approaches.",Comparisons of interactive fuzzy programming approaches for closed-loop supply chain network design under uncertainty,Closed-loop supply chain network *** Uncertainty *** Facility location *** Fuzzy programming *** Possibilistic programming,computers & industrial engineering,WOS:000449569500040,2018,,,,,,
"Due to globally increased demand of drinkable and usable water, countries are focusing more in building desalination plants. Desalination plant location selection is a strategic decision and decision makers need to deal with multiple criteria that are sometimes conflicting in nature. In addition to technical and operational aspects, sustainability (social, environmental, economical) aspect needs to be considered in desalination plant location decision. The purpose of this paper is to develop a multi-criteria decision support system (DSS) to rank desalination plant location criteria in United Arab Emirates (UAE) by considering social, environmental, economical, technical and operational aspects. Result shows that technical (21.9%) and economical (20.9%) are top two main aspects of desalination plant location criteria. Similarly, waste water discharge (22.2%), life species (13.3%), real cost of water and government subsidy (18%), quality and quantity of fresh water (12.4%), and water supply network (9%) are the top ranked sub-criteria of environmental, social, economic, technical, and operational aspects respectively.",A multi-criteria decision support system to rank sustainable desalination plant location criteria,Desalination plant *** Decision support system *** Plant location criteria *** Analytical hierarchal process *** Sustainability criteria *** Multi-criteria decision making,desalination,WOS:000443662900004,2018,,,,,,
"This paper intends to develop a multi-objective solid transportation problem considering carbon emission, where the parameters are of gamma type-2 fuzzy in nature. This paper proposed the defuzzification process for gamma type-2 fuzzy variable using critical value (CV) and nearest interval approximation method. A chance constraint programming problem is generated using the CV based reduction method to convert the fuzzy problem to its equivalent crisp form. Applying the a-cut based interval approximation method, a deterministic problem is developed. Some real life data are used to minimize the cost and carbon emission. LINGO standard optimization solver has been used to solve the multi-objective problem using weighted sum method and intuitionistic fuzzy programming technique. The Genetic Algorithm (GA) and Particle Swarm Optimization (PSO) algorithm are implemented to generate efficient optimal solution by converting the multi-objective problem to a single objective problem using penalty cost for carbon emission. After solving the problem, analysis on some particular cases has been presented. The sensitivity analysis has been shown to different credibility levels of cost, emission, source, demand, conveyance to find total cost, emission and transported amount in each level. A comparison study on the performance of three algorithms (LINGO, GA and PSO) is presented. At the end, some graphs have been plotted which shows the effect of emission with different emission parameters.",A gamma type-2 defuzzification method for solving a solid transportation problem considering carbon emission,Solid transportation problem *** Gamma type-2 fuzzy variable *** CV reduction method *** Carbon emission *** Nearest interval approximation *** Weighted sum method *** Intuitionistic fuzzy programming technique *** Genetic algorithm *** Particle swarm optimization,applied intelligence,WOS:000446426900009,2018,,,,,,
"© 2018, Emerald Publishing Limited. Purpose: This study aims to present a competitive advantages framework suited for disaster prone regions in the era of climate change, present supply chain cooperation (SCC) as an integral part of GrSCM within the automobile industry and evaluate the competitive advantages framework merits based on SCC as a new implementation tool. Design/methodology/approach: In an effort to address limited green supply chain management implementation strategies in disaster prone regions, the paper presents SCC as an economic, social and political implementation tool. To explore this; the study introduces SCC in a three-phase competitive advantages model adopted from the Barney 1995 model (with slight differences). Smart PLS 3.0 software package was adopted to carry out multi-variable data analysis. The study’s assumption is a capital economic system and bases its argument of analysis on stockholder theoretical lenses. Findings: Big company size does not significantly affect SCC, suggesting that companies of all size can organize and enhance their network to be cooperative. Companies with cooperative supply chain network tend to have competitive advantages. SCC is also a viable way to manage business risks, be there internal or external. Research limitations/implications: One of the study’s limitation is the stockholder theory it adopts, which shoulders its assumptions on a capital economic model of operation. Indeed, the study covered China, which is seen to be a communist-based economy. Another study’s limitation is that it narrows its data collection to disaster prone areas as documented by Guha-Sapir et al. (2012). Consequently, the findings of this study might be only applicable to areas that experience significant level of disruptions usually caused by disaster incidents. Originality/value: The study is also the first of its kind to propose a model for automobile manufacturing in disaster prone regions. This is done by introducing SCC as an economic, social and political factor, while risk ranking is introduced as an environmental factor to constitute the external changes that Barney 1995 introduced.",Supply chain cooperation as a green supply chain management implementation strategy to achieve competitive advantages in natural disaster prone regions,Automobile industry *** Competitive advantages *** Green supply chain management *** Natural disasters *** Supply chain cooperation,competitiveness review,85057812504,2018,,,,,,
"© 2018, Emerald Publishing Limited. Purpose: The purpose of this paper is to theoretically hypothesise and empirically test the impact of sustainable supply chain practices (SSCPs) on firms’ financial risk. Design/methodology/approach: This research adopts signalling theory to explain the signalling role of SSCPs and the moderating role of the signalling environment in terms of supply chain characteristics. It collects and combines longitudinal secondary data from multiple sources to test the direct impact of SSCPs on firms’ financial risk and the moderating role of supply chain complexity and efficiency. It conducts various additional tests to check the robustness of the findings and to account for alternative explanations. Findings: This research shows that SSCPs help firms reduce financial risk but do not affect their returns. Moreover, the risk reduction of SSCPs is greater for firms with more complex and efficient supply chains. The findings are robust to alternative variable measurements and analysing strategies. Research limitations/implications: This research reveals the role of SSCPs in reducing financial risk, urging researchers to pay more attention to the financial risk implications of supply chain practices in general and SSCPs in particular. Practical implications: This research encourages firms to engage in SSCPs to reduce financial risk and enables them to assess the urgency of their SSCPs investments in view of the complexity and efficiency of their supply chains. Originality/value: This is the first research examining the impact of SSCPs on financial risk, based on longitudinal secondary data and signalling theory. The empirical evidence documented and the theoretical perspective adopted offer important implications for future practice and research on SSCPs.",Doing good across organizational boundaries: Sustainable supply chain practices and firms’ financial risk,Financial risk *** Secondary data *** Signalling theory *** Sustainable supply chain practices,international journal of operations and production management,85052141863,2018,,,,,,
"© 2018 Elsevier B.V. Product management activities have typically focused on the innovation, acquisition, expansion and management of product lines and products. However, product deletion or discontinuation is also critical. Despite its strategic importance, product deletion has received relatively less attention in both academia and practice. Researchers have conceptually investigated product deletion, its influence on firm's resources, the factors influencing product deletion decisions, and the product deletion process. However, very few papers have related product deletion decisions to supply chain management, especially when leanness and sustainability are major objectives. This paper aims to integrate lean and sustainable supply chain dimensions with product deletion by proposing a multilevel decision model that can facilitate a product deletion decision with an objective of developing a leaner and more sustainable supply chain. The model has three major decision dimensions with 8 factors with 29 influencing determinants. The model uses an integrated analytical hierarchy/network process (AHP/ANP) and a benefits, opportunities, cost and risks (BOCR) analysis. An illustrative company scenario is provided for the model application. The paper contributes by filling an important gap by integrating lean and sustainable supply chain management and product deletion literature to formulate a product deletion decision making model which aids in enhancing the leanness and sustainability of supply chains. The model also allows for cross-functional participation involving marketing, operations, finance, and environmental sustainability fields.",Addition by subtraction: Integrating product deletion with lean and sustainable supply chain management,Analytical hierarchy/network process model *** BOCR analysis *** Lean supply chain *** Product deletion *** Supply chain management *** Sustainability,international journal of production economics,85054859479,2018,,,,,,
"© 2018, Springer Nature B.V. The electronics industry is growing fast with the advent of new technologies and product innovation across the globe. Short product life cycle coupled with the huge demand for electronics products, generating a pile of discarded products results in e-waste generation. The industry is also facing the higher product returns due to the increase in online business and liberal policies offered to the consumers. Effective and efficient reverse supply chain implementation may help in managing these returns along with the end of life product returns. Despite a growing body of research in the area of reverse supply chain, industries are reluctant to adopt best practices of the reverse supply chain. The proposed study aims at exploring the key strategic issues and challenges faced by the electronics industry by using case study method. A case of Indian Electronics Organization is analyzed to identify key strategic issues and challenges in the managing reverse supply chain. The study will help the managers in understanding the complexities of reverse supply chain management in the electronics industry such as critical success factors, outsourcing decisions, disposition decisions, performance evaluation, and forecasting product returns.",Reverse supply chain issues in Indian electronics industry: a case study,Critical success factors *** Indian electronics industry *** Reverse logistics *** Reverse supply chain *** Strategic issues,journal of remanufacturing,85050700864,2018,,,,,,
"© 2018, 2018 KEDGE Business School. In the face of increasing vulnerability and complexity of the business environment, companies have started embedding the concept of resilience in their supply chains in order to handle disruptions. This paper investigates the relationship between product complexity, disruption and performance using the role of resilience capabilities as moderating variables in the relationships mentioned above. The relationships have been tested using data from the sixth editions of the International Manufacturing Strategy Survey (IMSS). Data highlights how product complexity increases the probability of disruption occurrence, which in turn affects plant performance, while resilience allows supply chains to reduce the harmful effects of a disruption.","Linking product complexity, disruption and performance: the moderating role of supply chain resilience",capabilities *** complexity *** International Manufacturing Strategy Survey (IMSS) *** plant performance *** Supply chain resilience,supply chain forum,85058194507,2018,,,,,,
"Lignocellulosic biomass derived fuels and chemicals are a promising and sustainable supplement for petroleum-based products. Currently, the lignocellulosic biofuel industry relies on a conventional system where feedstock is harvested, baled, stored locally, and then delivered in a low-density format to the biorefinery. However, the conventional supply chain system causes operational disruptions at the biorefinery mainly due to seasonal availability, handling problems, and quality variability in biomass feedstock. Operational disruptions decrease facility uptime, production efficiencies, and increase maintenance costs. For a low-value high-volume product where margins are very tight, system disruptions are especially problematic. In this work we evaluate an advanced system strategy in which a network of biomass processing centers (depots) are utilized for storing and preprocessing biomass into stable, dense, and uniform material to reduce feedstock supply disruptions, and facility downtime in order to boost economic returns to the bioenergy industry. A database centric discrete event supply chain simulation model was developed, and the impact of operational disruptions on supply chain cost, inventory and production levels, farm metrics and facility metrics were evaluated. Three scenarios were evaluated for a 7-year time-period: (1) bale-delivery scenario with biorefinery uptime varying from 20 to 85%; (2) pellet-delivery scenario with depot uptime varying from 20 to 85% and biorefinery uptime at 85%; and (3) pellet-delivery scenario with depot and biorefinery uptime at 85%. In scenarios 1 and 2, tonnage discarded at the field edge could be reduced by increasing uptime at facility, contracting fewer farms at the beginning and subsequently increasing contracts as facility uptime increases, or determining alternative corn stover markets. Harvest cost was the biggest contributor to the average delivered costs and inventory levels were dependent on facility uptimes. We found a cascading effect of failure propagating through the system from depot to biorefinery. Therefore, mitigating risk at a facility level is not enough and conducting a system-level reliability simulation incorporating failure dependencies among subsystems is critical.",Simulation Modeling for Reliable Biomass Supply Chain Design Under Operational Disruptions,operational disruptions *** biorefinery *** pre-processing *** biomass *** depots *** simulation,frontiers in energy research,WOS:000447327200001,2018,,,,,,
"© 2018 Elsevier Ltd Honey is a natural sweetener that requires minimal industrial technologies and is the subject of thriving markets along with its derived products. It has been estimated that about 35% of food consumption depends directly on the pollination of fruit and vegetable crops. A Social Life Cycle Assessment (S-LCA) case-study is applied in the agro-food sector to assess the social and socio-economic aspects of the life cycle of honey through the Subcategory Assessment Method (SAM). The objectives of this paper are three-fold: i) evaluate the capability of S-LCA to capture the complexity of a multifunctional product, which delivers fundamental ecosystem services with consequences at environmental, economic and social levels; ii) identify how to define and represent, with robust indicators, the positive social aspects generated by honey life cycle; iii) identify the steps to improve the S-LCA methodology, especially for its application to complex product systems, such as the agri-food ones. This paper presents a methodological framework to support decision makers in order to evaluate the social sustainability of the Italian honey sector. The presence of positive social aspects in the life cycle of a jar of honey was highlighted as well as a strong connection between the honey product and local community. Furthermore, a weak relation between suppliers along the entire supply chain emerged. The findings lead to the conclusion that further developments are required in order to improve the assessment of the multifunctional product and to reinforce the awareness of the social sustainability by starting from strong collaborations within the supply chain.",Assessment of social dimension of a jar of honey: A methodological outline,Honey *** Multifunctionality *** Semi-qualitative method *** Social Life Cycle Assessment (S-LCA) *** Social sustainability *** Subcategory Assessment Method (SAM),journal of cleaner production,85053140810,2018,,,,,,
"© 2018 Elsevier B.V. When managing a global supply chain, one critical challenge encountered by multinational enterprises (MNEs) is the extension of corporate social responsibility (CSR) practices to suppliers in emerging countries. In this study, we use a multi-method approach to explore 1) the nature of suppliers’ CSR heterogeneity based on the various components of CSR in emerging countries, and 2) the choices of MNEs for extending CSR to different types of suppliers in dynamic environments. We begin with a survey of Chinese original equipment manufacturers (OEMs) servicing MNEs to examine how these suppliers vary in CSR implementation based on cluster analysis results. To understand the choices made by MNE buyers for extending CSR to their OEM suppliers, we conduct an agent-based simulation study considering the dynamics of a system with multiple agents (i.e., MNE buyers, OEM suppliers, and the government). The cluster analysis results show that CSR practices implemented by Chinese OEMs differ significantly from one another and can be classified into three clusters (i.e., Leader, Follower, and Laggard). The simulation results provide insights into how the adaption costs (e.g., upgrade cost and cost saved by downgrading) and punitive (inspection with possible penalties) and supportive (subsidies) tactics adopted by the government affect the choices made by MNE buyers for extending CSR practices to suppliers in emerging countries. Moreover, we demonstrate when supportive tactics are more effective than punitive tactics under varying conditions and extend the model to investigate the consequences of switching between these two types of tactics in a sequential simulation.",Multinational enterprise buyers’ choices for extending corporate social responsibility practices to suppliers in emerging countries: A multi-method study,Emerging country *** Empirical analysis *** Extending corporate social responsibility *** Multi-agent simulation *** Multinational enterprise buyer *** Original equipment manufacturer supplier,journal of operations management,85047303417,2018,,,,,,
"© 2018 Elsevier B.V. During the last decade, reverse logistics networks have grown dramatically within many supply chains in different industries. Several evolving factors including economic climate, green image, environment protection laws and social respolities force companies to revise their strategies. In this paper, a tire forward and reverse supply chain is designed, and a multi-objective, multi-period, multi-product mixed integer linear programming model considering uncertainty is developed. Moreover, a novel idea of integrating customer relationship management concept and supply chain management is proposed and incorporated into the mathematical modeling framework. The proposed scenario-based multi-objective model is then solved following robust optimization and revised multi-choice goal programming approaches. In order to discuss the managerial implications of the model and its results, the realization rates of the objectives, considering their importance to the supply chain, are illustrated. The model is implemented in LINGO 9 software package and solved utilizing the branch-and-bound method. The results demonstrate the applicability of the model in real world situations.",Tire forward and reverse supply chain design considering customer relationship management,Customer relationship management *** Multi-choice goal programming *** Robust optimization *** Supply chain network design *** Tire *** Uncertainty,"resources, conservation and recycling",85050878770,2018,,,,,,
"© 2018 Elsevier Ltd This paper investigates the extent to which supply chain greening and buttressing (building robustness) strategies are supportive or conflicting. A supply chain design model is introduced which uses an environmental performance scoring approach and a robustness measure to explore the relationship between greening and buttressing. Potential tradeoffs to develop robustly green and greenly robust supply chains are evaluated. Data from a multinational apparel company is used. Results show both greening and buttressing can be costly, green supply chains are most sensitive to disruption, robust supply chains have strong long term benefits, and buttressing a green supply chain is a good investment.",Greening versus resilience: A supply chain design perspective,Elastic p-robust approach *** Environmental sustainability *** Green *** Network design *** Robust *** Supply chain management,transportation research part e: logistics and transportation review,85054847107,2018,,,,,,
"© 2018 In recent years, governments and social bodies have imposed mandates to tackle environmental and social issues. Furthermore, responding effectively to supply chain disruptions prevented many businesses from bankruptcy and complete shutdown. Therefore, adopting sustainability and resilience concepts at an operational level have recently become an inevitable necessity for business supply chains in order to survive in the tough rapid-changing competitive market environment. This paper proposes a novel dynamic network data envelopment analysis framework as a comprehensive performance management system to dynamically assess a supply chain's performance from both sustainability and resilience viewpoints over the course of time. The proposed model is also associated with a hybrid method using Quality Function Deployment (QFD) together with Decision Making Trial and Evaluation Laboratory (DEMATEL) to systematically select the best sustainability and resilience factors, which are then used in the data envelopment analysis model. The proposed framework is applied to an automotive manufacturing sector to demonstrate its capabilities and effectiveness.",Supply chain performance measurement and evaluation: A mixed sustainability and resilience approach,DEMATEL *** Dynamic network data envelopment analysis *** QFD *** Supply chain performance management *** Supply chain resilience *** Sustainability,computers and industrial engineering,85054670106,2018,,,,,,
"© 2018 by the authors. Licensee MDPI, Basel, Switzerland. Organic and low-input food systems are emerging worldwide in answer to the sustainability crisis of the conventional agri-food sector. “Alternative” systems are based on local, decentralized approaches to production and processing, regarding quality and health, and short supply-chains for products with strong local identities. Diversity is deeply embedded in these food systems, from the agrobiodiversity grown in farmers’ fields, which improves resilience and adaptation, to diverse approaches, contexts and actors in food manufacturing and marketing. Diversity thus becomes a cross-sectoral issue which acknowledges consumers’ demand for healthy products. In the framework of the European project “CERERE, CEreal REnaissance in Rural Europe: embedding diversity in organic and low-input food systems”, the paper aims at reviewing recent research on alternative and sustainable food systems by adopting an innovative and participatory multi-actor approach; this has involved ten practitioners and twenty-two researchers from across Europe and a variety of technical backgrounds in the paper and analysis stages. The participatory approach is the main innovation and distinctive feature of this literature review. Partners selected indeed what they perceived as most relevant in order to facilitate a transition towards more sustainable and diversity based cereal systems and food chains. This includes issues related to alternative food networks, formal and informal institutional settings, grass root initiatives, consumer involvement and, finally, knowledge exchange and sustainability. The review provides an overview of recent research that is relevant to CERERE partners as well as to anyone interested in alternative and sustainable food systems. The main objective of this paper was indeed to present a narrative of studies, which can form the foundation for future applied research to promote alternative methods of cereal production in Europe.",A multi-actor literature review on alternative and sustainable food systems for the promotion of cereal biodiversity,Locally based agriculture *** Low-input cereal supply-chains *** Low-input farming *** Safe and healthy diet *** Sustainable agriculture,agriculture (switzerland),85056566005,2018,,,,,,
